statement,category
SC denies anticipatory bail in a Dadu District wheat misappropriation scam causing colossal public exchequer loss.,Criminal
Deletion of charges (Quran Act/PPC 298-C/295-B) for retrospective law and lack of evidence; bail granted for detention exceeding maximum sentence.,Criminal
"Criminal appeal challenging murder conviction under 302(a) PPC, reappraising evidence and converting Qisas to Ta'azir death sentence.",Criminal
"Contempt proceedings against judges for taking PCO oath during 2007 emergency, violating Supreme Court order under Article 204.",Constitutional
"Suo Motu case setting aside High Court's remand for de novo trial, affirming ATC jurisdiction in terrorism-related murder.",Criminal
"Supreme Court converted murder/injury appeals to Suo Motu, setting aside High Court remand, ordering fresh trial and re-custody of Anti-Terrorism convicts.",Criminal
Judge seeks expungement of High Court strictures regarding her judicial conduct; SC discusses limits of such remarks.,Constitutional
"Supreme Court acquitted murder convict; dying declaration unreliable as recorder unidentified, overturning death penalty altered to life.",Criminal
"Criminal appeal against conviction and enhanced life sentence for rape of a 9-year-old, challenging witness credibility and negative forensics.",Criminal
"Criminal appeal on refusal to accept compromise for murder/theft, disputing implied Anti-Terrorism Act conviction without specific sentencing.",Criminal
Supreme Court dismisses State's appeal against High Court's acquittal in a double homicide (qatl-e-amd) case due to evidentiary issues.,Criminal
State challenges High Court's reduced sentence for narcotics trafficking; Supreme Court restores life imprisonment under CNS Act.,Criminal
"Supreme Court acquits appellants in abduction for ransom case under PPC and ATA due to insufficient evidence, setting aside convictions.",Criminal
Criminal Appeal against High Court's acquittal in Qatl-i-Amd case; Supreme Court upholds acquittal for benefit of doubt.,Criminal
"Criminal appeal against quashing of FIR in immovable property dispute, High Court judgment set aside, investigation warranted.",Criminal
"Supreme Court acquitted accused in child qatl-e-amad case, finding confessional statements unreliable and contradictory.",Criminal
State appeal against High Court acquittal in 17kg opium possession case dismissed by Supreme Court due to evidence discrepancies.,Criminal
"SC rejects High Court's arbitrary CNSA sentencing methods regarding drug quantity reduction and equal distribution, emphasizing exact recovered quantity and joint liability.",Criminal
"Supreme Court restores life imprisonment for narcotic contraband over 10kg, reversing High Court's sentence reduction under Control of Narcotics Substances Act.",Criminal
"Supreme Court enhances sentence to life imprisonment for Sohail Khan possessing 11.4kg Charas Garda under Control of Narcotic Substances Act, 1997.",Criminal
Appeal against conviction for wife's homicide (S.302 PPC) based on circumstantial evidence; acquitted due to insufficient proof.,Criminal
Criminal appeal against S.302 PPC murder conviction; Supreme Court acquits appellant due to circumstantial doubts regarding suicide.,Criminal
"State appeal against drug trafficking acquittal (25kg heroin) dismissed; respondent absent, contraband destroyed, impractical to pursue.",Criminal
State appeal against High Court's acquittal of narcotics trafficking accused due to unproven conscious possession of 2800kg charas.,Criminal
Appellant convicted for disproportionate assets in corruption case; SC remands to High Court for detailed evidence discussion.,Criminal
"Criminal appeal challenges murder conviction; High Court reduced death to life; Supreme Court acquits from ATA, upholds PPC 302(b).",Criminal
"Criminal Appeal: Abduction for ransom conviction overturned due to flawed, inconsistent confessional statement and evidentiary doubts.",Criminal
"State/ANF appeal reversed High Court acquittal in heroin smuggling case, restoring trial court conviction for drug trafficking.",Criminal
"Criminal appeal against acquittal in 576kg opium/charas recovery case, upholding High Court's lack of conscious knowledge finding.",Criminal
"Criminal appeals challenging convictions for blasphemy, murder, and terrorism offenses during a procession led by a self-proclaimed Imam Mehdi.",Criminal
"Appeal against non-forfeiture of property under CNS Act 1997 due to foreign narcotics conviction; retrospective application disallowed, violating Article 12.",Criminal
"Supreme Court overturns murder conviction and death sentence due to delayed FIR, unmentioned eyewitnesses, and delayed forensic evidence.",Criminal
"Criminal appeal: husband's conviction for wife's qatl-e-amd set aside due to insufficient evidence, benefit of doubt.",Criminal
Supreme Court overturns abetment of murder conviction due to insufficient evidence and benefit of doubt.,Criminal
"Supreme Court acquits Mst. Asia Bibi in blasphemy case (295-C PPC) due to glaring evidentiary contradictions, reversing death sentence.",Criminal
"Supreme Court reviews conviction under Section 295-C (blasphemy), analyzing evidence and proof beyond reasonable doubt.",Criminal
"Criminal Appeal against 302 PPC conviction for Qatl-i-Amd, appellant acquitted due to flawed ocular account and uncorroborated evidence.",Criminal
"SC reviews murder conviction (302/34 PPC) appeal; High Court converted death to life; examines FIR delay, motive, and witness reliability.",Criminal
Criminal appeal against CNSA conviction; Supreme Court acquits due to prosecution's failure to produce and exhibit narcotic case property.,Criminal
"Supreme Court reverses High Court conviction for qatl-e-amd, acquitting appellant due to doubt and inconsistent evidence.",Criminal
