statement,priority
"Supreme Court voids Caretaker Government's large-scale appointments, transfers, and postings, delineating its limited powers for day-to-day affairs.",High
"Challenge to Caretaker Government's significant appointments/transfers under Article 184(3); Supreme Court suspends actions, restricts to day-to-day.",High
"SC suspends notifications of members elected via irregular bye-elections by Election Commissioner, directs verified electoral lists, pending 20th Amendment.",High
"Constitution Petitions challenging Election Commission's flawed voters' list revision, especially unverified entries and shifting Karachi votes.",High
Supreme Court directs Election Commission to revise Karachi electoral rolls with Pakistan Army/FC assistance due to irregularities/disenfranchisement.,High
Constitutional Petition challenging Election Commission's ex-parte order for vote recounting in NA-266; petitioner directed to High Court.,High
"Constitution petition challenging DG CAA's appointment, NBBIAP project corruption, delays, and cost escalation under Article 184(3).",High
"Challenge to carbon tax replacing Petroleum Development Levy (PDL) on petroleum product pricing; Court suspends tax, seeks justification.",High
"Court questions Secretary Aviation's transfer violating civil servant tenure rules from Anita Turab's Case, demanding justification.",High
"SC orders OGRA to revise CNG price fixation, abandon petrol linkage, suspend arbitrary operating cost formula.",High
"Constitutional petition challenges appointment of Prime Minister's Advisor on Aviation; advisor resigns amidst controversy, Court orders acceptance.",High
"Constitution petition addressing financial irregularities, cost escalation, and contractual mismanagement in Benazir Bhutto International Airport construction.",High
"Challenge to frequent police officer transfers in Punjab violating Police Order 2002, alleging political interference impacting fundamental rights via Article 184(3).",High
Constitutional petition against multibillion EOBI scam involving former Chairman and DGs.,High
"EOBI multi-billion scam: Constitutional petition on irregular land purchase from DHA, violating procurement rules, court orders deposit.",High
"Constitution petition concerning multi-billion EOBI scam; Court directs compliance, property release, and stops FIA harassment.",High
"EOBI multi-billion scam: Supreme Court monitors FIA inquiry, orders freezing accounts, property evaluation against DHA, Eden Housing.",High
"Constitutional petition addresses miserable school conditions, ghost schools, teacher absenteeism, and Article 25A education right enforcement.",High
"Constitutional petitions seeking overseas Pakistanis' right to vote in general elections, leading to election law amendments for out-of-country voting.",High
Legality of Chief of Army Staff's tenure extension challenged under Article 184(3) due to procedural flaws.,High
Challenge ECP's Presidential Election schedule citing religious obligations during Ramadan; Court directs date change ensuring electoral participation.,High
Supreme Court directs ECP to facilitate overseas Pakistanis' fundamental right to vote in general elections under Article 184(3).,High
Petition seeking to enable Overseas Pakistanis' constitutional right to vote in general elections by devising voting mechanisms.,High
"HBL ex-employees challenge compulsory retirement under non-statutory rules, alleging fundamental rights violation via Article 184(3); petition dismissed.",High
"Supreme Court directs ECP to implement plan for overseas Pakistanis' right to vote, requiring legislation and logistical steps.",High
Disqualification of a member of parliament under Article 63(1)(g) of the Constitution and powers of Supreme Court.,High
"Petitions regarding NRO judgment implementation, Article 63 disqualification of public office holders, and contempt of court under Article 184(3).",High
Supreme Court reviews Speaker's ruling on Prime Minister's disqualification post contempt conviction under Article 63(1)(g) and affirms it.,High
"Supreme Court declared PM Yousaf Raza Gillani disqualified from Parliament and Premiership due to contempt of court, affirming judicial review powers.",High
"SC voids OGRA Chairman's appointment due to flawed, non-transparent selection process, fake degree, and orders NAB probe for corruption.",High
"Public interest litigation challenges Gas Regulator Chairman appointment, UFG losses, and tariff regulation, asserting judicial review.",High
"Petitions against unconstitutional closure of ARY/GEO News by cable operators, violating media freedom and public information access.",High
"SC addresses E&P companies' failure to meet social, environmental obligations and utilize welfare funds, invoking Article 184(3) for public welfare.",High
"Supreme Court declares closure of Basic Education Community Schools and winding up of education commissions unconstitutional, violating Article 25A.",High
"Supreme Court interprets Section 251 scope, remedial jurisdiction, and relief in review petitions, emphasizing fundamental rights and justice.",High
"SC directs federal/provincial governments to urgently build dams for water security, citing Article 184(3) and establishing public fund.",High
"Challenge to SECP Chairman/Commissioners' appointments, service rules, and Finance Act 2003 amendment under Article 184(3) for constitutional violations.",High
SECP Chairman appointment set aside; SECP Act Section 5(5) and service rules' termination clause declared unconstitutional under Article 184(3).,High
"Dispute over corporate governance, regulatory compliance by SECP, and protection of shareholders' rights under Companies Ordinance.",Medium
